sentiment,text
3,#AAPL:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx
3,"RT @JPDesloges: Why AAPL Stock Had a Mini-Flash Crash Today $AAPL #aapl
http://t.co/hGFcjYa0E9"
3,My cat only chews @apple cords. Such an #AppleSnob.
3,"I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL, it's extended so today's pullback is good to see"
3,Nobody expects the Spanish Inquisition #AAPL
3,#AAPL:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS
5,Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB
5,CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK
3,Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj #AAPL
3,#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd
1,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple
3,Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 #AAPL #iWatch #AppleWatch
3,"The Best-Designed #iPhone #Apps In the World, According to @apple: http://t.co/Razqvpxofg http://t.co/ev7uKWiEcz"
